"medicinalproduct","activesubstancename"
"EICOSAPENTAENOIC ACID-DOCOSAHEXAENOIC ACID (EPA-DHA)","DOCONEXENT\ICOSAPENT"
"DOCOSAHEXAENOIC ACID W/EICOSAPENTAENOIC ACID","DOCONEXENT\ICOSAPENT"
"DOCOSAHEXAENOIC ACID/EICOSAPENTAENOIC ACID","DOCONEXENT\ICOSAPENT"
"TREPROSTINIL SODIUM (SQ/IV)","TREPROSTINIL SODIUM"
"TREPROSTINIL SODIUM (INHALED)","TREPROSTINIL SODIUM"
"TREPROSTINIL SODIUM","TREPROSTINIL SODIUM"
"TREPOSTINIL SODIUM (SO/IV) (TREPROSTINIL SODIUM) INJECTION","TREPROSTINIL SODIUM"
"BLINDED TREPROSTINIL SODIUM (SQ/IV)","TREPROSTINIL SODIUM"
"TANATRIL (IMIDAPRIL HYDROCHLORIDE)","IMIDAPRIL HYDROCHLORIDE"
"IMIDAPRIL HYDROCHLORIDE","IMIDAPRIL HYDROCHLORIDE"
"FLUCAM","AMPIROXICAM"
"AMPIROAM","AMPIROXICAM"
"TRIPROLIDINE","TRIPROLIDINE"
"DROMOSTANOLONE PROPIONATE","DROMOSTANOLONE PROPIONATE"
"DROMOSTANOLONE","DROMOSTANOLONE PROPIONATE"
"EVENING PRIMROSE OIL","EVENING PRIMROSE OIL"
"CHLOROFORM","CHLOROFORM"
"ASPERGILLUS FUMIGATUS.","ASPERGILLUS FUMIGATUS"
"ASPERGILLIUS 0.5 ML","ASPERGILLUS FUMIGATUS"
"FAVIPIRAVIR","FAVIPIRAVIR"
"ULUNAR BREEZHALER","GLYCOPYRROLATE\INDACATEROL MALEATE"
"UNITUXIN","DINUTUXIMAB"
"NCI-CH14.18","DINUTUXIMAB"
"DINUTUXIMAB","DINUTUXIMAB"
"CH14.18 (UT-CH14.18 / NCI-CH14.18) INFUSION","DINUTUXIMAB"
"COLESTIPOL HYDROCHLORIDE.","COLESTIPOL HYDROCHLORIDE"
"COLESTIPOL HCL","COLESTIPOL HYDROCHLORIDE"
"COLESTID","COLESTIPOL HYDROCHLORIDE"
"PYRETHRINS","PYRETHRUM EXTRACT"
"UNIPHYLLIN CONTINUS TABLETS 400 MG","THEOPHYLLINE ANHYDROUS"
"UNIPHYLLIN CONTINUS TABLETS 200 MG","THEOPHYLLINE ANHYDROUS"
"UNIPHYLLIN CONTINUS","THEOPHYLLINE ANHYDROUS"
"UNIPHYLLIN 400 MG, RETARDTABLETTEN","THEOPHYLLINE ANHYDROUS"
"UNIPHYLLIN","THEOPHYLLINE ANHYDROUS"
"UNIPHYL LA TABLETS","THEOPHYLLINE ANHYDROUS"
"UNIPHYL LA","THEOPHYLLINE ANHYDROUS"
"UNIPHYLLA","THEOPHYLLINE ANHYDROUS"
"UNIPHYL","THEOPHYLLINE ANHYDROUS"
"UNICON","THEOPHYLLINE ANHYDROUS"
"TROMPHYLLIN","THEOPHYLLINE ANHYDROUS"
"THEOSPIREX","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINUM BAXTER","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE (UNKNOWN)","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE (THEOPHYLLINE)","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE TAB.TYK","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE SUSTAINED RELEASE","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE SR","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE EXTENDED RELEASE","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE ER","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE CR","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE ANHYDROUS.","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE 200 MG","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE (040086, 087571 RHODES)","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLINE","THEOPHYLLINE ANHYDROUS"
"THEOPHYLLIN","THEOPHYLLINE ANHYDROUS"
"THEOPHYLINE XR (THEOPHYLINE) UNKNOWN","THEOPHYLLINE ANHYDROUS"
"THEOPHYLINE","THEOPHYLLINE ANHYDROUS"
"THEOLONG","THEOPHYLLINE ANHYDROUS"
"THEOLAIR","THEOPHYLLINE ANHYDROUS"
"THEO-DUR","THEOPHYLLINE ANHYDROUS"
"THEODRIP INTRAVENOUS INFUSION 200MG","THEOPHYLLINE ANHYDROUS"
"THEOCHRON","THEOPHYLLINE ANHYDROUS"
"THEO-24","THEOPHYLLINE ANHYDROUS"
"THEO","THEOPHYLLINE ANHYDROUS"
"TEOTARD","THEOPHYLLINE ANHYDROUS"
"TEOKAP","THEOPHYLLINE ANHYDROUS"
"SLO-PHYLLIN","THEOPHYLLINE ANHYDROUS"
"SLO-BID","THEOPHYLLINE ANHYDROUS"
"NUELIN-SR","THEOPHYLLINE ANHYDROUS"
"NUELIN SR","THEOPHYLLINE ANHYDROUS"
"NUELIN SA","THEOPHYLLINE ANHYDROUS"
"NUELIN                             /00012201/","THEOPHYLLINE ANHYDROUS"
"NON-PMN THEOPHYLLINE","THEOPHYLLINE ANHYDROUS"
"NEULIN SR","THEOPHYLLINE ANHYDROUS"
"LABID","THEOPHYLLINE ANHYDROUS"
"EUPHYLONG","THEOPHYLLINE ANHYDROUS"
"EUPHYLLINE (THEOPHYLLINE)","THEOPHYLLINE ANHYDROUS"
"EUPHYLLINE /00012201/","THEOPHYLLINE ANHYDROUS"
"BRONCHORETARD","THEOPHYLLINE ANHYDROUS"
"BLINDED THEOPHYLLINE CR TABLET 200 MG","THEOPHYLLINE ANHYDROUS"
"PYRIDOSTIGMINE BROMIDE.","PYRIDOSTIGMINE BROMIDE"
"MESTINON","PYRIDOSTIGMINE BROMIDE"
"TELZIR","FOSAMPRENAVIR CALCIUM"
"LEXIVA","FOSAMPRENAVIR CALCIUM"
"FOSAMPRENAVIR/FOSAMPRENAVIR CALCIUM","FOSAMPRENAVIR CALCIUM"
"FOSAMPRENAVIR CALCIUM","FOSAMPRENAVIR CALCIUM"
"STOOL SOFTENER WITH LAXATIVE","DOCUSATE SODIUM\SENNOSIDES A AND B"
"SENOKOT (DOCUSATE SODIUM, SENNOSIDE A PLUS B)","DOCUSATE SODIUM\SENNOSIDES A AND B"
"SENOKOT                            /00936101/","DOCUSATE SODIUM\SENNOSIDES A AND B"
"SENEXON-S","DOCUSATE SODIUM\SENNOSIDES A AND B"
"DOCUSATE SODIUM W/SENNOSIDE A+B","DOCUSATE SODIUM\SENNOSIDES A AND B"
"DOCUSATE PLUS SENNA","DOCUSATE SODIUM\SENNOSIDES A AND B"
"FERRALET 90","ASCORBIC ACID\CYANOCOBALAMIN\DOCUSATE SODIUM\FOLIC ACID\IRON"
"MODANE /06372101/","CALCIUM PANTOTHENATE\SENNA LEAF"
"MODANE","CALCIUM PANTOTHENATE\SENNA LEAF"
"PROGYNOVA                          /00045402/","ESTRADIOL VALERATE"
"PROGYNOVA","ESTRADIOL VALERATE"
"OESTRADIOL VALERATE","ESTRADIOL VALERATE"
"MERIMONO","ESTRADIOL VALERATE"
"ESTRADIOL VALERATE INJECTION, USP (0870-05)","ESTRADIOL VALERATE"
"ESTRADIOL VALERATE (ESTRADIOL VALERATE)","ESTRADIOL VALERATE"
"ESTRADIOL VALERATE.","ESTRADIOL VALERATE"
"DELESTROGEN","ESTRADIOL VALERATE"
"CLIMAVAL","ESTRADIOL VALERATE"
"NEUMEGA","OPRELVEKIN"
"MOBAN","MOLINDONE HYDROCHLORIDE"
"PLANDER","DEXTRAN 70"
"TYLENOL COLD","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLPROPANOLAMINE"
"INFANTS^ TYLENOL COLD","ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\PHENYLPROPANOLAMINE"
"KERASAL NAIL","LACTIC ACID\PROPYLENE GLYCOL\UREA"
"ZOSTEX","BRIVUDINE"
"ZECOVIR","BRIVUDINE"
"NERVINEX","BRIVUDINE"
"BRIVUDINE","BRIVUDINE"
"BRIVIRAC","BRIVUDINE"
"HYDROCODONE/POTASSIUM GUAIACOLSULFONATE/PSEUDOEPHEDRINE","HYDROCODONE\POTASSIUM GUAIACOLSULFONATE\PSEUDOEPHEDRINE"
"POTASSIUM SULFATE","POTASSIUM SULFATE"
"KALI SULPH 30X","POTASSIUM SULFATE"
"RO 5479599 (ANTI-HER 3 MAB)","LUMRETUZUMAB"
"RO 5479599","LUMRETUZUMAB"
"ABACAVIR TABLETS, USP","ABACAVIR"
"ABACAVIR TABLETS","ABACAVIR"
"ABACAVIR SULPHATE","ABACAVIR"
"ABACAVIR (ABACAVIR SULPHATE) UNKNOWN","ABACAVIR"
"ABACAVIR/ABACAVIR SUCCINATE/ABACAVIR SULFATE","ABACAVIR"
"ABACAVIR (ABACAVIR)","ABACAVIR"
"ABACAVIR 300 MG","ABACAVIR"
"ABACAVIR.","ABACAVIR"
"ABACAVIR","ABACAVIR"
"SULFATE DE MAGNESIUM PROMP (MAGNESIUM SULFATE)","MAGNESIUM SULFATE"
"SULFATE DE MAGNESIUM","MAGNESIUM SULFATE"
"MG SULPHATE","MAGNESIUM SULFATE"
"MG SULFATE","MAGNESIUM SULFATE"
"MGSO4","MAGNESIUM SULFATE"
"MAGNEZI SULF.","MAGNESIUM SULFATE"
"MAGNESIUM SULPHATE//MAGNESIUM SULFATE","MAGNESIUM SULFATE"
"MAGNESIUM SULPHATE 50%","MAGNESIUM SULFATE"
"MAGNESIUM SULPHATE /07507001/","MAGNESIUM SULFATE"
"MAGNESIUM SULPHATE                 /07507001/","MAGNESIUM SULFATE"
"MAGNESIUM SULPHATE /01097001/","MAGNESIUM SULFATE"
"MAGNESIUM SULPHATE                 /01097001/","MAGNESIUM SULFATE"
"MAGNESIUM SULPHATE","MAGNESIUM SULFATE"
"MAGNESIUM SULPHA 50%","MAGNESIUM SULFATE"
"MAGNESIUM SULPHA","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE (MANUFACTURER UNKNOWN)","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE (MAGNESIUM SULFATE) (MAGNESIUM SULFATE)","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE LAVOISIER","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE IV","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE INJECTION, USP (2602-25) 500 MG/ML","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE INJECTION, USP (2602-25)","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE INJECTION, USP","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE INJECTION MAGNESIUM SULFATE","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE INJ","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE IN DEXTROSE","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE 50% NACL","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE 50%","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE 40MG/ML HOSPIRA","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE 4.06 MEQ/ML","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE 2 GRMS /HR","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE 20ML HOSPIRA","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE.","MAGNESIUM SULFATE"
"MAGNESIUM SULFATE","MAGNESIUM SULFATE"
"MAGNESIUM SULFAT","MAGNESIUM SULFATE"
"MAGNESIUM [MAGNESIUM SULFATE]","MAGNESIUM SULFATE"
"MAGNESIO SOLFATO BIOINDUSTRIA","MAGNESIUM SULFATE"
"EPSOM SALT","MAGNESIUM SULFATE"
"BAXTER UNLICENCED SPECIAL MAGNESIUM SULPHATE 49.3%","MAGNESIUM SULFATE"
"IBUPROFEN SODIUM","IBUPROFEN SODIUM"
"BUSCOFEN /00109201/","IBUPROFEN SODIUM"
"BUSCOFEN","IBUPROFEN SODIUM"
"VIDARABINE","VIDARABINE"
"MILTAX","VIDARABINE"
"CASAL","VIDARABINE"
"ARASENA-A","VIDARABINE"
"ARASENA A","VIDARABINE"
"SUREPOST","REPAGLINIDE"
"REPAGLINIDE (UNKNOWN)","REPAGLINIDE"
"REPAGLINIDE TABLETS, USP","REPAGLINIDE"
"REPAGLINIDE TABLET","REPAGLINIDE"
"REPAGLINIDE SANDOZ","REPAGLINIDE"
"REPAGLINIDE (REPAGLINIDE)","REPAGLINIDE"
"REPAGLINIDE MYLAN PHARMA","REPAGLINIDE"
"REPAGLINIDE MYLAN GENERICS","REPAGLINIDE"
"REPAGLINIDE EG - 1 MG COMPRESSE - EG S.P.A.","REPAGLINIDE"
"REPAGLINIDE BIOGARAN","REPAGLINIDE"
"REPAGLINIDE ACTAVIS","REPAGLINIDE"
"REPAGLINIDE 2MG","REPAGLINIDE"
"REPAGLINIDE-1MG","REPAGLINIDE"
"REPAGLINIDE 1MG","REPAGLINIDE"
"REPAGLINIDE 0.5 MG MULTUM, INC.","REPAGLINIDE"
"REPAGLINIDE 0.5MG","REPAGLINIDE"
"REPAGLINIDE.","REPAGLINIDE"
"PRANDIN","REPAGLINIDE"
"NOVONORM - NOVO NORDISK A/S","REPAGLINIDE"
"NOVONORM - 2.0 MG COMPRESSE - NOVO NORDISK A/S","REPAGLINIDE"
"NOVONORM 1.0 MG TABLETTEN","REPAGLINIDE"
"NOVONORM 0.5 MG","REPAGLINIDE"
"NOVO-NORM","REPAGLINIDE"
"NOVONORM","REPAGLINIDE"
"GLUCONORM [R EPAGLINIDE]","REPAGLINIDE"
"GLUCONORM (CANADA)","REPAGLINIDE"
"GLUCONORM","REPAGLINIDE"
"HALOPERIDOL LACTATE (WATSON LABORATORIES)","HALOPERIDOL LACTATE"
"HALOPERIDOL LACTATE 5 MG UNKN","HALOPERIDOL LACTATE"
"HALOPERIDOL LACTATE.","HALOPERIDOL LACTATE"
"HALOPERIDOL INJECTION (MANUFACTURER UNKNOWN) (HALOPERIDOL LACTATE) (HALOPERIDOL LACTATE)","HALOPERIDOL LACTATE"
"HALOPERIDOL INJECTION (MANUFACTURER UNKNOWN)","HALOPERIDOL LACTATE"
"HALDOL (HALOPERIDOL LACTATE)","HALOPERIDOL LACTATE"
"VX-809 FDC","IVACAFTOR"
"VX-770 FDC","IVACAFTOR"
"VX-770","IVACAFTOR"
"KALYDECO","IVACAFTOR"
"IVACAFTOR","IVACAFTOR"
"KETA/BUPI/CYCLO/KETO/GABA/FLUT","BUPIVACAINE\CYCLOBENZAPRINE\FLUTICASONE\GABAPENTIN\KETAMINE\KETOPROFEN"
"BUPIVACAINE\CYCLOBENZAPRINE\FLUTICASONE\GABAPENTIN\KETAMINE\KETOPROFEN","BUPIVACAINE\CYCLOBENZAPRINE\FLUTICASONE\GABAPENTIN\KETAMINE\KETOPROFEN"
"ALKA-SELTZER PLUS NOS","ACETAMINOPHEN\ASPIRIN\CHLORPHENIRAMINE MALEATE\DEXTROMETHORPHAN HYDROBROMIDE\DIPHENHYDRAMINE HYDROCHLORIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE BITARTRATE\PHENYLEPHRINE HYDROCHLORIDE"
"TWYNSTA","AMLODIPINE BESYLATE\TELMISARTAN"
"TELMISARTAN AND AMLODIPINE TABLETS","AMLODIPINE BESYLATE\TELMISARTAN"
"TELMISARTAN AND AMLODIPINE","AMLODIPINE BESYLATE\TELMISARTAN"
"MICARDIS AMLO","AMLODIPINE BESYLATE\TELMISARTAN"
"MICAMLO COMBINATION","AMLODIPINE BESYLATE\TELMISARTAN"
"MICAMLO AP","AMLODIPINE BESYLATE\TELMISARTAN"
"MICAMLO","AMLODIPINE BESYLATE\TELMISARTAN"
"ALKASOL P","ACETAMINOPHEN\DISODIUM HYDROGEN CITRATE\SORBITOL"
"VIBRAMYCIN","DOXYCYCLINE"
"VIBRAMICINA                        /00055701/","DOXYCYCLINE"
"VIBRADOX","DOXYCYCLINE"
"UNKNOWN ANTIBIOTIC (DOXY)","DOXYCYCLINE"
"UNIDOX","DOXYCYCLINE"
"TOLEXINE /00055701/","DOXYCYCLINE"
"TOLEXINE","DOXYCYCLINE"
"TEVA- DOXYCYCLINE","DOXYCYCLINE"
"TEVA-DOXYCYCLINE","DOXYCYCLINE"
"SUPRACYCLIN","DOXYCYCLINE"
"ORAYCEA","DOXYCYCLINE"
"ORACEA","DOXYCYCLINE"
"MONODOX","DOXYCYCLINE"
"GRANUDOXY /00055701/","DOXYCYCLINE"
"GRANUDOXY                          /00055701/","DOXYCYCLINE"
"EFRACEA","DOXYCYCLINE"
"DOXYLIN 100","DOXYCYCLINE"
"DOXYLIN /00055702/","DOXYCYCLINE"
"DOXYL","DOXYCYCLINE"
"DOXYHEXAL","DOXYCYCLINE"
"DOXYFERM 100 MG TABLETT","DOXYCYCLINE"
"DOXYFERM /00055701/","DOXYCYCLINE"
"DOXYFERM                           /00055701/","DOXYCYCLINE"
"DOXYFERM","DOXYCYCLINE"
"DOXYCYLINE 200 MG","DOXYCYCLINE"
"DOXYCYLINE 100MG","DOXYCYCLINE"
"DOXYCYLINE","DOXYCYCLINE"
"DOXYCYLIN 1A PHARMA","DOXYCYCLINE"
"DOXYCYKLIN EQL PHARMA","DOXYCYCLINE"
"DOXYCYCLIN-RATIOPHARM 100 MG WEICHKAPSELN","DOXYCYCLINE"
"DOXYCYCLINE (WATSON LABORATORIES)","DOXYCYCLINE"
"DOXYCYCLIN ^EUROPHARMA^","DOXYCYCLINE"
"DOXYCYCLINE (UNKNOWN)","DOXYCYCLINE"
"DOXYCYCLINE TABLETS, USP","DOXYCYCLINE"
"DOXYCYCLINE TABLETS","DOXYCYCLINE"
"DOXYCYCLINE SANDOZ /00055701/","DOXYCYCLINE"
"DOXYCYCLINE SANDOZ","DOXYCYCLINE"
"DOXYCYCLINE-RATIOPHARM","DOXYCYCLINE"
"DOXYCYCLINE (NGX)","DOXYCYCLINE"
"DOXYCYCLINE MONOHYDRATE (UNKNOWN)","DOXYCYCLINE"
"DOXYCYCLINE MONOHYDRATE IR","DOXYCYCLINE"
"DOXYCYCLINE MONOHYDRATE","DOXYCYCLINE"
"DOXYCYCLINE MONO 100 MG PAR PHARMACEUTICAL","DOXYCYCLINE"
"DOXYCYCLINE FOR INJECTION (MANUFACTURER UNKNOWN) (DOXYCYCLINE HYCLATE)(DOXYCYCLINE HYCLATE)","DOXYCYCLINE"
"DOXYCYCLINE FOR INJECTION (MANUFACTURER UNKNOWN)","DOXYCYCLINE"
"DOXYCYCLINE FOR INJECTION","DOXYCYCLINE"
"DOXYCYCLINE (DOXYCYCLINE) UNKNOWN","DOXYCYCLINE"
"DOXYCYCLINE (DOXYCYCLINE) (DOXYCYCLINE)","DOXYCYCLINE"
"DOXYCYCLINE DOXYCYCLINE 100","DOXYCYCLINE"
"DOXYCYCLINE ARROW","DOXYCYCLINE"
"DOXYCYCLINE (ACTAVIS LABORATORIES FL)","DOXYCYCLINE"
"DOXYCYCLINE ACTAVIS","DOXYCYCLINE"
"DOXYCYCLINE 200 MG","DOXYCYCLINE"
"DOXYCYCLINE 100MG WATSON LABS","DOXYCYCLINE"
"DOXYCYCLINE 100MG ORAL CAPSULES USP","DOXYCYCLINE"
"DOXYCYCLINE 100MG","DOXYCYCLINE"
"DOXYCYCLINE                        /00055702/","DOXYCYCLINE"
"DOXYCYCLINE.","DOXYCYCLINE"
"DOXYCYCLIN AXAPHARM","DOXYCYCLINE"
"DOXYCYCLIN - 1 A PHARMA","DOXYCYCLINE"
"DOXYCYCLIN 100","DOXYCYCLINE"
"DOXYCYCLIN                         /00055701/","DOXYCYCLINE"
"DOXYCYCLIN","DOXYCYCLINE"
"DOXYCLINE","DOXYCYCLINE"
"DOXYCIN","DOXYCYCLINE"
"DOXYBENE 100 MG","DOXYCYCLINE"
"DOXY","DOXYCYCLINE"
"DOXIMYCIN","DOXYCYCLINE"
"DOXIMED","DOXYCYCLINE"
"DOXICYCLINE /00055701/","DOXYCYCLINE"
"DOXICYCLINE                        /00055701/","DOXYCYCLINE"
"DOXICYCLIN","DOXYCYCLINE"
"APPRILON","DOXYCYCLINE"
"ADOXA","DOXYCYCLINE"
"NYQUIL COLD/FLU, ORIGINAL FLAVOUR","ACETAMINOPHEN\ALCOHOL\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\EPHEDRINE SULFATE"
"NYQUIL (ACETAMINOPHEN\ALCOHOL\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\EPHEDRINE SULFATE)","ACETAMINOPHEN\ALCOHOL\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\EPHEDRINE SULFATE"
"ZYDUS PAROXETINE","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"SOLBEN","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"SEREUPIN 20 MG/10 ML SOSPENSIONE ORALE","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE TEVA 20 MG","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE TABLETS USP 10MG","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE TABLET","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE (PAROXETINE HYDROCHLORIDE) TABLET","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE (PAROXETINE HYDROCHLORIDE)","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE (MANUFACTURER UNKNOWN)","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE FILM-COATED TABLET","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE ARROW 20 MG FILM-COATED TABLETS","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE ARROW","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE 20MG (PAROXETINE) UNKNOWN, 20MG","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE 20MG","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINE","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINA MYLAN","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINA AUROBINDO 20MG COMPRESSE RIVESTITE CON FILM(PAROXETINE) FILM-COATED TABLET, 20MG","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"PAROXETINA ACTAVIS (NON-AZ PRODUCT)","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"NOCTURN","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"APO-PAROXETINE","PAROXETINE\PAROXETINE HYDROCHLORIDE"
"LITHIUM CITRATE (UNKNOWN)","LITHIUM CITRATE"
"LITHIUM CITRATE.","LITHIUM CITRATE"
"LITAREX//LITHIUM CITRATE","LITHIUM CITRATE"
"LITAREX","LITHIUM CITRATE"
"MEPTID","MEPTAZINOL HYDROCHLORIDE"
"ATAZANAVIR SULFATE W/RITONAVIR","ATAZANAVIR SULFATE\RITONAVIR"
"WELCHOL (COLESEVELAM HYDROCHLORIDE) (625 MILLIGRAM, TABLET) (COLESEVELAM HYDROCHLORIDE)","COLESEVELAM HYDROCHLORIDE"
"WELCHOL","COLESEVELAM HYDROCHLORIDE"
"LODALIS","COLESEVELAM HYDROCHLORIDE"
"COLESEVELAM HYDROCHLORIDE","COLESEVELAM HYDROCHLORIDE"
"CHOLESTAGEL","COLESEVELAM HYDROCHLORIDE"
"MINGZHENG (ADEFOVIR DIPIVOXIL CAPSULES)","ADEFOVIR DIPIVOXIL"
"HEPSERA","ADEFOVIR DIPIVOXIL"
"DAI DING","ADEFOVIR DIPIVOXIL"
"BLINDED ADEFOVIR DIPIVOXIL","ADEFOVIR DIPIVOXIL"
"ADEFOVIR DIPIVOXIL (ADEFOVIR DIPIVOXIL) TABLET)","ADEFOVIR DIPIVOXIL"
"ADEFOVIR DIPIVOXIL 10 MG SIGMAPHARM LABORATORIES","ADEFOVIR DIPIVOXIL"
"ADEFOVIR DIPIVOXIL.","ADEFOVIR DIPIVOXIL"
"ADEFOVIR (ADEFOVIR DIPIVOXIL) UNKNOWN","ADEFOVIR DIPIVOXIL"
"NEFOPAM HYDROCHLORIDE","NEFOPAM HYDROCHLORIDE"
"ACUPAN","NEFOPAM HYDROCHLORIDE"
"TRANXILIUM N","NORDAZEPAM"
"NORDIAZEPAM","NORDAZEPAM"
"NORDAZEPAM (NORDAZEPAM)","NORDAZEPAM"
"NORDAZEPAM","NORDAZEPAM"
"NORDAZ","NORDAZEPAM"
"MALOXINE","PYRIMETHAMINE\SULFADOXINE"
"FANSIDAR","PYRIMETHAMINE\SULFADOXINE"
"BLINDED PYRIMETHAMINE + SULFADOXINE","PYRIMETHAMINE\SULFADOXINE"
"PARAFON FORTE DSC","CHLORZOXAZONE"
"PARAFON FORTE","CHLORZOXAZONE"
"PARAFLEX","CHLORZOXAZONE"
"LORZONE","CHLORZOXAZONE"
"CHLORZOXAZONE (CHLORZOXAZONE)","CHLORZOXAZONE"
"CHLORZOXAZONE 500 MG WATSON","CHLORZOXAZONE"
"CHLORZOXAZONE.","CHLORZOXAZONE"
"ZAVEL","IDARUBICIN HYDROCHLORIDE"
"IDARUBIN","IDARUBICIN HYDROCHLORIDE"
"IDARUBICIN HYDROCHLORIDE (MANUFACTURER UNKNOWN) (IDARUBICIN HYDROCHLORIDE) (IDARUBICIN HYDROCHLORIDE)","IDARUBICIN HYDROCHLORIDE"
"IDARUBICIN HYDROCHLORIDE (MANUFACTURER UNKNOWN)","IDARUBICIN HYDROCHLORIDE"
"IDARUBICIN HYDROCHLORIDE (IDARUBICIN HYDROCHLORIDE)","IDARUBICIN HYDROCHLORIDE"
"IDARUBICIN HYDROCHLORIDE.","IDARUBICIN HYDROCHLORIDE"
"IDARUBICIN HCL","IDARUBICIN HYDROCHLORIDE"
"IDAMYCIN","IDARUBICIN HYDROCHLORIDE"
"PEMOLINE (WATSON LABORATORIES)","PEMOLINE"
"PEMOLINE","PEMOLINE"
"CYLERT","PEMOLINE"
"ALENE","EPIMESTROL"
"SCHERIPROCT (CINCHOCAINE HYDROCHLORIDE\HEXACHLOROPHENE\PREDNISOLONE)","DIBUCAINE HYDROCHLORIDE\HEXACHLOROPHENE\PREDNISOLONE"
"DEXTROAMPHETAMINE/AMPHETAMINE EXTENDED RELEASE","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"DEXTROAMP-AMPHET ER 20 MG GLOBAL PHARM","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"DEXTROAMP-AMPHET ER 20 MG CAPSULES GLOBAL PHA.","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"DEXTROAMP -AMPHET ER","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"AMPHETAMINE W/DEXTROAMPHETAMINE","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"AMPHETAMINE DEXTROAMPHETAMINE XR","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"AMPHETAMINE-DEXTROAMPHETAMINE TA 15 MG MALLINCKRODT","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"AMPHETAMINE-DEXTROAMPHETAMINE","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"AMPHETAMINE (+) DEXTROAMPHETAMINE","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"AMPHETAMINE AND DEXTROAMPHETAMINE","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
"AMPHETA/DEXTRO","AMPHETAMINE SULFATE\DEXTROAMPHETAMINE"
